Country	Region	Continent	GDP_per_capita	Social_support	Healthy_life_exp	Freedom_life_choices	Generosity	Perceptions_of_corruption	Residuals
Albania	Central_and_Eastern_Europe	Europe	9.417930603	0.671070457	68.70813751	0.781994224	-0.042309489	0.896303713	1.640897036
Cambodia	Southeast_Asia	Asia	8.249890327	0.773080647	61.52996826	0.959704638	0.051911179	0.822769046	1.663300037
Bangladesh	South_Asia	Asia	8.287063599	0.687292993	64.50306702	0.90062499	-0.033664726	0.661843538	1.755261898
Gabon	Sub-Saharan_Africa	Africa	9.680537224	0.787886858	59.71533966	0.704829216	-0.222261623	0.849150956	1.735027552
South_Africa	Sub-Saharan_Africa	Africa	9.403370857	0.852532268	56.50601196	0.759330094	-0.109777324	0.843423843	1.625117302
Iraq	Middle_East_and_North_Africa	Africa	9.661095619	0.747694969	59.90354919	0.633182645	-0.06956476	0.82226181	1.752173662
Lebanon	Middle_East_and_North_Africa	Africa	9.3617239	0.824338138	67.10658264	0.551357508	-0.06121527	0.90225625	1.53554225
Burkina_Faso	Sub-Saharan_Africa	Africa	7.46854496	0.712943614	53.88945389	0.665563583	-0.019080516	0.739795029	2.588826418
Gambia	Sub-Saharan_Africa	Africa	7.321814537	0.6931687	55.0120163	0.733163178	0.343198717	0.690717816	2.270216465
Mali	Sub-Saharan_Africa	Africa	7.629852295	0.731468976	51.72698212	0.71156615	-0.044366926	0.839328408	2.559335232
Nigeria	Sub-Saharan_Africa	Africa	8.57662487	0.73721689	49.86190796	0.759578407	0.033745807	0.861874342	2.219635487
Armenia	Commonwealth_of_Independent_States	Commonwealth	9.100476265	0.757479429	66.75065613	0.712017834	-0.13877961	0.773544788	1.468161583
Georgia	Commonwealth_of_Independent_States	Commonwealth	9.226100922	0.629033029	64.49520874	0.801641524	-0.22892037	0.665944695	1.69239831
Iran	Middle_East_and_North_Africa	Africa	9.813719749	0.694689691	66.00614929	0.647873282	0.117891103	0.714635968	1.286969423
Jordan	Middle_East_and_North_Africa	Africa	9.025999069	0.80216372	66.79975128	0.75104779	-0.162565202	0.700344324	1.262258053
Mozambique	Sub-Saharan_Africa	Africa	7.069345951	0.723874032	54.20582199	0.864451885	0.032375868	0.683019102	2.221216202
Kenya	Sub-Saharan_Africa	Africa	8.02977562	0.702652037	60.09693146	0.829747558	0.294681519	0.831499159	1.684904575
Namibia	Sub-Saharan_Africa	Africa	9.203141212	0.846880972	56.50148773	0.767520964	-0.18530646	0.851449788	1.503033161
Ukraine	Commonwealth_of_Independent_States	Commonwealth	9.010690689	0.878879368	64.60678101	0.663081884	-0.030933706	0.920636714	1.252669334
Liberia	Sub-Saharan_Africa	Africa	7.054380417	0.70928055	56.09631348	0.735268712	0.04227322	0.856375933	2.386757851
Palestinian_Territories	Middle_East_and_North_Africa	Africa	8.389223099	0.825295925	62.25	0.645791829	-0.162079096	0.824199975	1.693985701
Uganda	Sub-Saharan_Africa	Africa	7.500389576	0.764994621	55.70820236	0.731713951	0.099487431	0.836737812	1.958671093
Chad	Sub-Saharan_Africa	Africa	7.467963696	0.632388055	48.22053909	0.587305248	0.017834719	0.802760839	2.74742651
Tunisia	Middle_East_and_North_Africa	Africa	9.314972878	0.688718557	66.89785767	0.593361557	-0.216413811	0.867590249	1.528496742
Mauritania	Sub-Saharan_Africa	Africa	8.233919144	0.790819228	57.01017761	0.551522553	-0.106008142	0.746223509	1.85955739
Sri_Lanka	South_Asia	Asia	9.389969826	0.825374067	67.20006561	0.837633669	0.081129618	0.859001756	0.611288548
Congo_(Kinshasa)	Sub-Saharan_Africa	Africa	6.694256306	0.672159016	52.90000153	0.700793564	0.083637655	0.809403598	2.437864304
Swaziland	Sub-Saharan_Africa	Africa	9.16267395	0.770290196	51.18823624	0.646822274	-0.19920142	0.708263338	1.686207294
Myanmar	Southeast_Asia	Asia	8.680481911	0.78440702	58.96171188	0.895075202	0.560663998	0.645124316	0.681462526
Comoros	Sub-Saharan_Africa	Africa	7.833630085	0.625662446	57.34901047	0.547612607	0.090008408	0.780622602	2.17276907
Togo	Sub-Saharan_Africa	Africa	7.357711315	0.551312625	54.71989822	0.649828613	0.002667875	0.757733464	2.409595251
Ethiopia	Sub-Saharan_Africa	Africa	7.509385586	0.743307352	58.63959122	0.740795195	0.043377332	0.753690004	1.628459215
Madagascar	Sub-Saharan_Africa	Africa	7.281685829	0.668195903	59.10542679	0.557574093	-0.011823639	0.817485631	2.136298418
